EIN,Name,Address,City,State,Zip,Revenue,
591319010,JACKSONVILLE ZOOLOGICAL SOCIETY INC,370 ZOO PKWY,JACKSONVILLE,FL,32218-5770,"$17,892,221",
592328289,LOWRY PARK ZOOLOGICAL SOCIETY OF TAMPA INC,1101 W SLIGH AVE,TAMPA,FL,33604-5958,"$17,064,683",
570961897,SOUTH CAROLINA AQUARIUM,100 AQUARIUM WHARF,CHARLESTON,SC,29401-6300,"$16,658,599",
43129124,COMMONWEALTH ZOOLOGICAL CORPORATION,1 FRANKLIN PARK RD,BOSTON,MA,02121-3252,"$16,502,923",
592807815,FLORIDA AQUARIUM INC,701 CHANNELSIDE DR,TAMPA,FL,33602-5600,"$16,344,528",
520996352,MARYLAND ZOOLOGICAL SOCIETY INC,1876 MANSION HOUSE DR THE MARYLAND,BALTIMORE,MD,21217-0000,"$16,113,873",
486120530,SEDGWICK COUNTY ZOOLOGICAL SOCIETY INC,5555 W ZOO BLVD,WICHITA,KS,67212-1643,"$15,161,621",
730930870,TULSA ZOO MANAGEMENT INC,6421 E 36TH ST N,TULSA,OK,74115-2102,"$15,145,577",
870217405,UTAH ZOOLOGICAL SOCIETY,2625 E WASATCH DRIVE,SALT LAKE CITY,UT,84108-0000,"$14,978,894",
911189249,SEATTLE AQUARIUM SOCIETY-SEAS,1483 ALASKAN WAY PIER 59,SEATTLE,WA,98101-2015,"$14,554,699",
520853312,FRIENDS OF THE NATIONAL ZOO,PROPAGATION BLDG 3001 CONN AVE,WASHINGTON,DC,20008-0000,"$13,572,428",
621231591,BIRMINGHAM ZOO INC,2630 CAHABA RD,MOUNTAIN BRK,AL,35223-1106,"$13,246,487",
952369545,GREATER LOS ANGELES ZOO ASSOCIATION,5333 ZOO DR,LOS ANGELES,CA,90027-1451,"$13,238,398",
840407039,CHEYENNE MOUNTAIN ZOOLOGICAL SOCIETY,4250 CHEYENNE MT ZOO ROAD,COLORADO SPRINGS,CO,80906-0000,"$12,852,812",
346003866,AKRON ZOOLOGICAL PARK,500 EDGEWOOD AVE,AKRON,OH,44307-2114,"$12,076,657",
396077242,ZOOLOGICAL SOCIETY OF MILWAUKEE COUNTY,10005 W BLUEMOUND RD,MILWAUKEE,WI,53226-4346,"$11,820,769",
356068234,FORT WAYNE ZOOLOGICAL SOCIETY INC,3411 SHERMAN BLVD,FORT WAYNE,IN,46808-1522,"$11,344,723",
61062912,THE MARITIME AQUARIUM AT NORWALK INC,10 N WATER ST,SOUTH NORWALK,CT,06854-2228,"$10,877,852",
750964982,DALLAS ZOOLOGICAL SOCIETY,650 S R L THORNTON FWY,DALLAS,TX,75203-3013,"$10,538,528",
952268554,SANTA BARBARA ZOOLOGICAL FOUNDATION,500 NINOS DR,SANTA BARBARA,CA,93103-3759,"$10,142,484",
621034633,KNOXVILLE ZOOLOGICAL GARDENS INC,PO BOX 6040,KNOXVILLE,TN,37914-0040,"$9,477,630",
160911204,ZOOLOGICAL SOCIETY OF BUFFALO INC,300 PARKSIDE AVE,BUFFALO,NY,14214-1963,"$9,179,475",
592496749,EAST COAST ZOOLOGICAL SOCIETY OF FLORIDA INC,8225 N WICKHAM RD,MELBOURNE,FL,32940-7924,"$9,055,614",
930877807,OREGON COAST AQUARIUM INC,2820 SE FERRY SLIP RD,NEWPORT,OR,97365-5259,"$8,708,428",
591259270,ZOOLOGICAL SOCIETY OF THE PALM BEACHES INC,1301 SUMMIT BLVD,WEST PALM BCH,FL,33405-3035,"$8,488,252",
386076879,JOHN BALL ZOO,PO BOX 2506,GRAND RAPIDS,MI,49501-2506,"$8,146,275",
56016675,RHODE ISLAND ZOOLOGICAL SOCIETY,1000 ELMWOOD AVE,PROVIDENCE,RI,02907-3655,"$8,067,300",
561512990,THE NORTH CAROLINA AQUARIUM SOCIETY,3125 POPLARWOOD CT STE 160,RALEIGH,NC,27604-6434,"$7,857,967",
596192814,ZOO MIAMI FOUNDATION INC,12400 SW 152ND ST,MIAMI,FL,33177-1402,"$7,550,722",
340816490,CLEVELAND ZOOLOGICAL SOCIETY,3900 WILDLIFE WAY,CLEVELAND,OH,44109-3132,"$7,419,785",
10504905,GULF OF MAINE RESEARCH INSTITUTE,350 COMMERCIAL ST,PORTLAND,ME,04101-4618,"$7,407,287",
741604409,VALLEY ZOOLOGICAL SOCIETY CHARTERED MAY 1968,500 E RINGGOLD ST,BROWNSVILLE,TX,78520-7918,"$7,243,955",
942861667,SACRAMENTO ZOOLOGICAL SOCIETY,3930 W LAND PARK DR,SACRAMENTO,CA,95822-1123,"$7,032,297",
930718337,OREGON ZOO FOUNDATION,4001 SW CANYON RD,PORTLAND,OR,97221-2705,"$6,404,360",
560990900,NORTH CAROLINA ZOOLOGICAL SOCIETY INC,4403 ZOO PKWY,ASHEBORO,NC,27205-1425,"$6,282,920",
421171821,BLANK PARK ZOO FOUNDATION INC,7401 SW 9TH ST,DES MOINES,IA,50315-6667,"$6,173,886",
562412630,NAPLES ZOO INC,1590 GOODLETTE-FRANK ROAD,NAPLES,FL,34102-5260,"$5,555,378",
310971742,LOUISVILLE ZOO FOUNDATION INC,PO BOX 37250,LOUISVILLE,KY,40233-7250,"$5,394,736",
510163223,BINDER PARK ZOOLOGICAL SOCIETY INC,7400 DIVISION DR,BATTLE CREEK,MI,49014-9534,"$5,372,611",
160905390,SENECA ZOOLOGICAL SOCIETY,2222 SAINT PAUL ST,ROCHESTER,NY,14621-1097,"$5,027,238",
510147653,MINNESOTA ZOO FOUNDATION,13000 ZOO BLVD,APPLE VALLEY,MN,55124-4621,"$4,827,485",
466015015,ZOOLOGICAL SOCIETY OF SIOUX FALLS GREAT PLAINS ZOO & MUSEUM,805 S KIWANIS AVE,SIOUX FALLS,SD,57104-3716,"$4,804,108",
300457102,FRANKFURT ZOOLOGICAL SOCIETY US INC,3810 ARGYLE TER NW,WASHINGTON,DC,20011-5327,"$4,299,861",
591357197,CENTRAL FLORIDA ZOOLOGICAL SOCIETY INC,PO BOX 470309,LAKE MONROE,FL,32747-0309,"$4,224,834",
231970067,NORRISTOWN ZOOLOGICAL SOCIETY,1661 HARDING BLVD,NORRISTOWN,PA,19401-2974,"$4,095,123",
942379052,REID PARK ZOOLOGICAL SOCIETY,1030 S RANDOLPH WAY,TUCSON,AZ,85716-5835,"$4,026,538",
640734103,JACKSON ZOOLOGICAL SOCIETY INC,2918 W CAPITOL ST,JACKSON,MS,39209-4236,"$3,946,842",
135680691,STATEN ISLAND ZOOLOGICAL SOCIETY INC,614 BROADWAY,STATEN ISLAND,NY,10310-2827,"$3,900,468",
396077008,HENRY VILAS PARK ZOOLOGICAL SOCIETY,606 S RANDALL AVE,MADISON,WI,53715-1666,"$3,833,920",
521272309,VIRGINIA AQUARIUM & MARINE SCIENCE CENTER FOUNDATION INC,717 GENERAL BOOTH BLVD,VIRGINIA BCH,VA,23451-4811,"$3,638,819",
521272309,VIRGINIA AQUARIUM & MARINE SCIENCE CENTER FOUNDATION INC,717 GENERAL BOOTH BLVD,VIRGINIA BCH,VA,23451-4811,"$3,638,819",
581661267,FRIENDS OF THE ZOO INC,A NON-PROFIT ORGANIZATION 301 NORTH,CHATTANOOGA,TN,37404-0000,"$3,496,043",
521301162,NATIONAL AQUARIUM FOUNDATION INC,111 MARKET PL STE 800S,BALTIMORE,MD,21202-7103,"$3,467,503",
274284050,GEORGIA AQUARIUM FOUNDATION INC,225 BAKER ST NW,ATLANTA,GA,30313-1809,"$3,384,572",
237068821,CONNECTICUT ZOOLOGICAL SOCIETY INC,1875 NOBLE AVE,BRIDGEPORT,CT,06610-1646,"$3,376,727",
300180215,ROLLING HILLS ZOO FOUNDATION,PO BOX 856,SALINA,KS,67402-0856,"$3,230,475",
251114213,ERIE ZOOLOGICAL SOCIETY,PO BOX 3268,ERIE,PA,16508-0268,"$3,180,595",
590915177,SOUTH FLORIDA SCIENCE CENTER & AQUARIUM INC,AQUARIUM INC 4801 DREHER TRAIL NOR,WEST PALM BEACH,FL,33405-0000,"$3,127,999",
920039344,ALASKA ZOO,4731 OMALLEY RD,ANCHORAGE,AK,99507-6573,"$3,047,217",
581919174,ZOO FOUNDATION INC,DBA ALABAMA GULF COAST ZOO,GULF SHORES,AL,36542-0000,"$3,001,499",
351183974,POTAWATOMI ZOOLOGICAL SOCIETY INC,500 S GREENLAWN AVE,SOUTH BEND,IN,46615-1341,"$2,862,289",
237083532,FRIENDS OF THE ROSAMOND GIFFORD ZOO AT BURNET PARK INC,1 CONSERVATION PL,SYRACUSE,NY,13204-2590,"$2,844,298",
470482255,LINCOLN CHILDRENS ZOO,1222 S 27TH ST,LINCOLN,NE,68502-1832,"$2,827,287",
593216472,LOWRY PARK ZOO ENDOWMENT FOUNDATION INC,1101 W SLIGH AVE,TAMPA,FL,33604-5958,"$2,758,298",
50606070,LEHIGH VALLEY ZOOLOGICAL SOCIETY,PO BOX 519,SCHNECKSVILLE,PA,18078-0519,"$2,737,344",
510253147,VIRGINIA ZOOLOGICAL SOCIETY,3500 GRANBY ST,NORFOLK,VA,23504-1313,"$2,637,515",
371369420,PEORIA ZOOLOGICAL SOCIETY,2520 N PROSPECT ROAD,PEORIA,IL,61603-2129,"$2,425,322",
730688645,OKLAHOMA ZOOLOGICAL SOCIETY INC,PO BOX 18424,OKLAHOMA CITY,OK,73154-0424,"$2,286,500",
341963509,TOLEDO ZOOLOGICAL SOCIETY FOUNDATION,2700 BROADWAY ST,TOLEDO,OH,43609-3121,"$2,152,313",
237057714,HONOLULU ZOOLOGICAL SOCIETY,151 KAPAHULU AVENUE,HONOLULU,HI,96815-4011,"$2,133,810",
742927016,AUSTIN ZOO,PO BOX 91808,AUSTIN,TX,78709-1808,"$1,966,309",
826005995,IDAHO ZOOLOGICAL SOCIETY,355 E JULIA DAVIS DR,BOISE,ID,83702-7670,"$1,909,926",
311680106,CINCINNATI ZOO FOUNDATION INC,3400 VINE ST,CINCINNATI,OH,45220-1333,"$1,891,917",
161448764,NIAGARA AQUARIUM FOUNDATION INC,701 WHIRLPOOL ST,NIAGARA FALLS,NY,14301-1037,"$1,865,585",
410944885,LAKE SUPERIOR ZOOLOGICAL SOCIETY,7210 FREMONT ST,DULUTH,MN,55807-1854,"$1,862,652",
411940024,GREAT RIVER GREENING,35 WATER ST W STE 201,SAINT PAUL,MN,55107-2016,"$1,841,748",
486117369,FRIENDS OF THE TOPEKA ZOO INC,635 SW GAGE BLVD,TOPEKA,KS,66606-2066,"$1,795,506",
751226706,ABILENE ZOOLOGICAL SOCIETY,PO BOX 60,ABILENE,TX,79604-0060,"$1,695,678",
396065035,RACINE ZOOLOGICAL SOCIETY,2131 N MAIN STREET,RACINE,WI,53402-0000,"$1,687,658",
770569564,MONTEREY BAY AQUARIUM SUPPORT SERVICES,99 PACIFIC STREET,MONTEREY,CA,93940-2470,"$1,669,385",
840723360,PUEBLO ZOOLOGICAL SOCIETY,3455 NUCKOLLS AVE,PUEBLO,CO,81005-1234,"$1,547,183",
521647018,THE CENTER FOR AQUATIC SCIENCES INC,1 RIVERSIDE DR,CAMDEN,NJ,08103-1037,"$1,494,742",
160915407,UTICA ZOOLOGICAL SOCIETY,ONE UTICA ZOO WAY,UTICA,NY,13501-0000,"$1,487,963",
237096596,FRIENDS OF THE ZOO OF SPRINGFIELD MISSOURI INC,3043 N FORT AVE,SPRINGFIELD,MO,65803-1052,"$1,465,748",
382153808,POTTER PARK ZOOLOGICAL SOCIETY,1301 S PENNSYLVANIA AVE,LANSING,MI,48912-1646,"$1,442,822",
510160007,FRIENDS OF SANTA ANA ZOO,1801 W CHESTNUT AVE,SANTA ANA,CA,92701-0000,"$1,383,232",
237394067,DAKOTA ZOOLOGICAL SOCIETY INC,PO BOX 711,BISMARCK,ND,58502-0711,"$1,362,641",
363938878,RED RIVER ZOOLOGICAL SOCIETY,4255 23RD AVE S,FARGO,ND,58104-8786,"$1,361,764",
222137384,ZOOLOGICAL SOCIETY OF NEW JERSEY,560 NORTHFIELD AVE,WEST ORANGE,NJ,07052-2431,"$1,343,413",
237219471,HAPPY HOLLOW CORPORATION,1300 SENTER RD,SAN JOSE,CA,95112-2520,"$1,325,742",
201935855,GLOBAL WILDLIFE TRUST INC,13019 CATOCTIN FURNACE RD,THURMONT,MD,21788-2134,"$1,304,420",
222961917,CAPE MAY COUNTY ZOOLOGICAL SOCIETY INC,707 N ROUTE 9,CAPE MAY CH,NJ,08210-1640,"$1,252,934",
330585381,FRIENDS OF CABRILLO MARINE AQUARIUM,3720 STEPHEN M WHITE DR,SAN PEDRO,CA,90731-7012,"$1,177,809",
396795665,ZOOLOGICAL SOCIETY OF MILWAUKEE COUNTY ENDOWMENT TR,10005 W BLUEMOUND RD,MILWAUKEE,WI,53226-4346,"$1,117,613",
916066667,POINT DEFIANCE ZOOLOGICAL SOCIETY,5400 NORTH PEARL STREET,TACOMA,WA,98407-3224,"$1,110,564",
166071439,SOUTHERN TIER ZOOLOGICAL SOCIETY INC,185 PARK AVE,BINGHAMTON,NY,13903-3643,"$1,107,863",
562410108,SEQUOIA PARK ZOO FOUNDATION,PO BOX 123,CUTTEN,CA,95534-0123,"$1,052,649",
810411290,ZOOMONTANA INC,2100 S SHILOH RD,BILLINGS,MT,59106-3908,"$969,618",
990322295,FRIENDS OF THE WAIKIKI AQUARIUM,2777 KALAKAUA AVE,HONOLULU,HI,96815-4027,"$965,144",
42661467,BUTTONWOOD PARK ZOOLOGICAL SOCIETY,425 HAWTHORN ST,NEW BEDFORD,MA,02740-1418,"$963,176",
311633140,HOLLYWILD ANIMAL PARK INC,2325 HAMPTON RD,WELLFORD,SC,29385-9010,"$927,977",
880410861,RIVERSIDE ZOOLOGICAL FOUNDATION,1600 S BELTLINE HWY W,SCOTTSBLUFF,NE,69361-1331,"$926,160",
751853975,GROVER NELSON PARK ZOOLOGICAL FOUNDATION,733 BUTTERNUT ST,ABILENE,TX,79602-2517,"$897,910",
593468228,ZOOWORLD ZOOLOGICAL AND BOTANICAL CONSERVATORY INC,9008 WEST HIGHWAY 98,PANAMA CITY BEACH,FL,32407-4235,"$871,358",
860549101,PRESCOTT ANIMAL PARK ASSOCIATION,1403 HERITAGE PARK RD,PRESCOTT,AZ,86301-6001,"$857,972",
260700095,IDAHO AQUARIUM INC,64 N COLE RD,BOISE,ID,83704-9105,"$845,483",
943126735,ZOOLOGICAL SOCIETY OF WASHINGTON,19525 SE 54TH ST,ISSAQUAH,WA,98027-8676,"$835,664",
43205211,NEW BEDFORD OCEANARIUM CORPORATION,PO BOX 1906,NEW BEDFORD,MA,02741-1906,"$808,367",
741290001,CAMERON PARK ZOOLOGICAL & BOTANICAL SOCIETY,1703 N 4TH ST,WACO,TX,76707-2463,"$806,114",
650659177,BIG CAT HABITAT GULF COAST SANCTUARY INC,PO BOX 50217,SARASOTA,FL,34232-0301,"$793,164",
382801805,SAGINAW VALLEY ZOOLOGICAL SOCIETY,1730 S WASHINGTON AVE,SAGINAW,MI,48601-2876,"$777,869",
541030634,MILL MOUNTAIN ZOO INC,PO BOX 13484,ROANOKE,VA,24034-3484,"$749,234",
841440122,COLORADO ZOOLOGICAL TRUST INC,2300 N STEELE ST,DENVER,CO,80205-5715,"$728,952",
521548155,PLUMPTON PARK ZOOLOGICAL GARDENS INC,1416 TELEGRAPH RD,RISING SUN,MD,21911-2025,"$713,517",
363599183,SOUTH DAKOTA DISCOVERY CENTER,805 W SIOUX AVE,PIERRE,SD,57501-1858,"$672,826",
742438003,VALLEY ZOOLOGICAL ENDOWMENT,500 E RINGGOLD ST,BROWNSVILLE,TX,78520-7918,"$668,299",
260391615,MONTEREY ZOOLOGICAL SOCIETY,400 RIVER RD,SALINAS,CA,93908-9627,"$665,837",
46145635,FOREST PARK ZOOLOGICAL SOCIETY INC,PO BOX 80295,SPRINGFIELD,MA,01138-0295,"$663,476",
741546326,SOUTH TEXAS ZOOLOGICAL SOCIETY,110 MEMORIAL DR,VICTORIA,TX,77901-6334,"$660,646",
746064341,EL PASO ZOOLOGICAL SOCIETY,4001 E PAISANO DR,EL PASO,TX,79905-4223,"$608,855",
510234751,DELAWARE ZOOLOGICAL SOCIETY INC,1001 N PARK DR,WILMINGTON,DE,19802-3801,"$604,286",
510193586,MONTGOMERY AREA ZOOLOGICAL SOCIETY INC,PO BOX 3242,MONTGOMERY,AL,36109-0242,"$592,177",
363293641,NIABI ZOOLOGICAL SOCIETY,12908 NIABI ZOO RD,COAL VALLEY,IL,61240-9467,"$572,665",
770296155,FRIENDS OF THE PALO ALTO JR MUSEUM AND ZOO,1451 MIDDLEFIELD RD,PALO ALTO,CA,94301-3351,"$536,864",
356031419,EVANSVILLE ZOOLOGICAL SOCIETY INC,1545 MESKER PARK DR,EVANSVILLE,IN,47720-8224,"$531,224",
237136059,ST LOUIS AQUACENTER INC,101 CHOUTEAU AVE,SAINT LOUIS,MO,63102-2406,"$528,832",
581647938,FRIENDS OF THE ALEXANDRIA ZOO,PO BOX 6015,ALEXANDRIA,LA,71307-6015,"$518,674",
391516018,NEW ZOOLOGICAL SOCIETY INC,PO BOX 12647,GREEN BAY,WI,54307-2647,"$516,678",
237294134,LAKE AREA ZOOLOGICAL SOCIETY,PO BOX 484,WATERTOWN,SD,57201-0484,"$509,566",
841146310,CHEYENNE MOUNTAIN ZOO ENDOWMENT FUND,4250 CHEYENNE MOUNTAIN ZOO RD,COLORADO SPGS,CO,80906-5728,"$493,244",
161407299,ZOOLOGICAL SOCIETY OF BUFFALO FOUNDATION INC,300 PARKSIDE AVE,BUFFALO,NY,14214-1963,"$487,956",
480830046,FRIENDS OF LEE RICHARDSON ZOO,PO BOX 1638,GARDEN CITY,KS,67846-1638,"$485,845",
510188367,CHAHINKAPA ZOO ASSOCIATION,PO BOX 1325,WAHPETON,ND,58074-1325,"$483,885",
521297264,SALISBURY ZOO COMMISSION INC,PO BOX 2979,SALISBURY,MD,21802-2979,"$447,869",
610721682,THE FRIENDS OF THE LOUISVILLE ZOO INCORPORATED,10837 BLUEGRASS PKWY,LOUISVILLE,KY,40299-2215,"$439,444",
271428324,NATIONAL AQUARIUM CONSERVATION CENTER INC,111 MARKET PLACE,BALTIMORE,MD,21202-4035,"$411,298",
721094494,FRIENDS OF THE BATON ROUGE ZOO,3601 IHOMAS ROAD,BATON ROUGE,LA,70807-0000,"$398,278",
480934987,SEDGWICK COUNTY ZOOLOGICAL FOUNDATION,5555 W ZOO BLVD,WICHITA,KS,67212-1643,"$395,058",
830347515,GINGERS PET RESCUE,1138 N 166TH ST,SHORELINE,WA,98133-5406,"$377,114",
272076836,A WALK ON THE WILD SIDE,294 NW 2ND AVE STE 329,CANBY,OR,97013-3624,"$363,440",
237057875,ZOO FRIENDS OF HOUSTON,6200 HERMANN PARK DR,HOUSTON,TX,77030-1710,"$357,429",
112677690,LI ZOOLOGICAL SOCIETY INC THE ANIMA L FARM,296 WADING RIVER RD,MANORVILLE,NY,11949-3433,"$354,947",
731317935,OKLAHOMA AQUARIUM FOUNDATION,300 S AQUARIUM DR,JENKS,OK,74037-4148,"$349,839",
800779739,HEALTHY KIDS RUNNING SERIES,381 BRINTON LAKE RD,THORNTON,PA,19373-1054,"$333,298",
752012852,FRIENDS OF THE ELLEN TROUT ZOO INC,2833 TED TROUT DRIVE,LUFKIN,TX,75904-3534,"$330,306",
237438056,NORTHWEST TREK FOUNDATION,11610 TREK DR E,EATONVILLE,WA,98328-9502,"$326,550",
320013455,WILDERNESS TRAILS ANIMAL PARK INC,11721 GERA RD,BIRCH RUN,MI,48415-9452,"$324,054",
770479110,CENTRAL COAST AQUARIUM,PO BOX 460,AVILA BEACH,CA,93424-0460,"$321,222",
263472262,COMAL COUNTY RIVER ZOO,1541 WHITE WATER RD,NEW BRAUNFELS,TX,78132-3284,"$319,346",
411949216,FRIENDS OF PINE GROVE ZOO,1200 W BROADWAY,LITTLE FALLS,MN,56345-5298,"$319,226",
352241655,ARKANSAS ZOOLOGICAL FOUNDATION INC,1 JONESBORO DRIVE,LITTLE ROCK,AR,72205-5403,"$318,300",
911538226,C A T T A L E S,17020 N NEWPORT HWY,MEAD,WA,99021-9539,"$305,681",
452553466,WILLOW PARK ZOO FOUNDATION INC,PO BOX 662,LOGAN,UT,84323-0662,"$300,480",
943026992,SAN JOAQUIN COUNTY ZOOLOGICAL SOCIETY,PO BOX 2000,LODI,CA,95241-2000,"$294,514",
264338166,MOTLEY ZOO ANIMAL RESCUE,23316 NE REDMOND FALL CITY ROAD 52,REDMOND,WA,98053-8376,"$293,817",
943194998,OCEANSALASKA,PO BOX 6383,KETCHIKAN,AK,99901-1383,"$277,540",
611237279,KENTUCKY REPTILE ZOO,200 LE RD,SLADE,KY,40376-0000,"$274,933",
450321791,GREATER MINOT ZOOLOGICAL SOCIETY,PO BOX 538,MINOT,ND,58702-0538,"$263,357",
272496960,THE W I L D CENTER AND ZOOLOGICAL PARK OF NEW ENGLAND,PO BOX 737,BARRINGTON,NH,03825-0737,"$255,340",
205786825,OREGON VOLLEYBALL ACADEMY,70 SW CENTURY DRIVE SUITE 100-340,BEND,OR,97702-3557,"$254,750",
274318102,LITTLE PONDEROSA ZOO AND RESCUE INC,629 GRANITE RD,CLINTON,TN,37716-5641,"$221,122",
990248039,FRIENDS OF THE PANAEWA ZOO,PO BOX 738,KEAAU,HI,96749-0738,"$219,959",
330350180,FRIENDS OF THE MOONRIDGE ZOO,PO BOX 2557,BIG BEAR CITY,CA,92314-2557,"$219,534",
521773305,DELMARVA ZOOLOGICAL SOCIETY INC,PO BOX 72,SALISBURY,MD,21803-0072,"$214,252",
770528762,AQUARIUS AQUARIUM INSTITUTE,5541 COLUMBIA DR N,FRESNO,CA,93727-6015,"$208,521",
880327020,SIERRA NEVADA ZOOLOGICAL SOCIETY INC,10200 N VIRGINIA ST,RENO,NV,89506-9203,"$208,241",
841542680,BIG CATS OF SERENITY SPRINGS INC,5119 CONSTITUTION AVE,COLORADO SPGS,CO,80915-1113,"$205,823",
133920404,GROWTH AND DEVELOPMENT SERVICES INC,216 FORT WASHINGTON AVE,NEW YORK,NY,10032-3704,"$200,400",
462459658,BRIDGEPORT DOLPHINS AQUATIC CLUB INC,4753 MADISON AVE,TRUMBULL,CT,06611-1748,"$188,824",
510156393,MILLER PARK ZOOLOGICAL SOCIETY,1020 S MORRIS AVE,BLOOMINGTON,IL,61701-6351,"$169,815",
820452111,TAUTPHAUS PARK ZOOLOGICAL SOCIETY INC,PO BOX 51794,IDAHO FALLS,ID,83405-1794,"$169,249",
202079203,GENERATION EXCEL YOUTH DEVELOPMENT PROGRAM INC,40 WALK HILL ST,JAMAICA PLAIN,MA,02130-4146,"$167,463",
273369646,BONNIE SPRINGS ZOO,16395 BLUE DIAMOND RD,BLUE DIAMOND,NV,89004-0000,"$167,264",
